DATE,PRODUCT_ID,SELLING_PRICE,COST_PRICE,COMPETITOR_PRICE,SALES,IS_PROMOTION,QUANTITY,CATEGORY,SUBCATEGORY,BRAND,PRODUCT_NAME,DAY_OF_WEEK,MONTH,SEASON,IS_HOLIDAY,IS_WEEKEND
2020-01-01,48,316.41531890,229.449809300,298.62458000,1202378.2120000,0,334,Meat,Fish,SavorSelect,SavorSelect Premium Portions,Wednesday,January,Winter,0,0
2020-01-01,49,371.85395580,175.989453500,357.22060190,1696769.6000000,0,679,Snacks,Nuts,NibbleNest,NibbleNest Fiery Blend,Wednesday,January,Winter,0,0
2020-01-01,50,343.44128340,183.235739700,352.43325110,1185559.3100000,0,192,Cereals,Oatmeal,SunriseBites,SunriseBites Protein-Rich Instant,Wednesday,January,Winter,0,0
2020-01-01,51,185.51533030,117.358346600,179.55004000,25044.5695900,0,699,Dairy,Yogurt,LushMilk,LushMilk Premium Pouch,Wednesday,January,Winter,0,0
2020-01-01,52,94.66600925,50.422604590,99.54158209,166896.1743000,0,799,Cereals,Oatmeal,DayStart,DayStart Protein-Rich Instant,Wednesday,January,Winter,0,0
2020-01-01,53,221.24372800,110.452001900,235.69070680,487178.6891000,0,581,Dairy,Cheese,CreamyPath,CreamyPath Premium Block,Wednesday,January,Winter,0,0
2020-01-01,54,77.10176288,36.502645620,76.32669538,84966.1426900,0,328,Personal Care,Toothpaste,FreshAura,FreshAura Nourishing Gel,Wednesday,January,Winter,0,0
2020-01-01,55,429.88423440,275.306007600,394.07050270,964660.2219000,0,421,Bakery,Bread,BakeHouse,BakeHouse Fresh Rolls,Wednesday,January,Winter,0,0
2020-01-01,56,177.32134800,146.165526000,163.58616440,461035.5048000,0,276,Personal Care,Soap,EssencePure,EssencePure Nourishing Gel,Wednesday,January,Winter,0,0
2020-01-01,57,87.15808261,49.810586910,81.04024123,121062.5767000,0,284,Frozen,Frozen Pizza,FrostyDelight,FrostyDelight Frosty Pie,Wednesday,January,Winter,0,0
2020-01-01,58,23.57995035,11.421719820,23.55721157,4621.6702680,0,542,Cleaning,Detergents,SparkleClean,SparkleClean Intense Packets,Wednesday,January,Winter,0,0
2020-01-01,59,325.56414740,216.637591800,304.26354090,1088035.3810000,0,516,Meat,Beef,PrimeCut,PrimeCut Premium Ground,Wednesday,January,Winter,0,0
2020-01-01,60,336.69955000,309.278099700,306.55313800,242086.9765000,0,75,Cereals,Corn Flakes,DayStart,DayStart Protein-Rich Crunch,Wednesday,January,Winter,0,0
2020-01-01,61,184.47631270,139.294477700,196.39766040,373011.1042000,0,1241,Cleaning,Wipes,GermBuster,GermBuster Strong Sponge,Wednesday,January,Winter,0,0
2020-01-01,62,47.10540912,22.557376330,51.80381021,98638.7267100,0,322,Personal Care,Soap,GlowMist,GlowMist Hydrating Bar,Wednesday,January,Winter,0,0
2020-01-01,63,206.75368960,145.595045100,197.93445360,832803.8618000,0,424,Bakery,Pastries,SweetCrust,SweetCrust Delicate Pastry,Wednesday,January,Winter,0,0
2020-01-01,64,160.41641730,72.820491970,157.38471050,749946.7507000,0,123,Bakery,Cakes,SweetCrust,SweetCrust Delicate Pound,Wednesday,January,Winter,0,0
2020-01-01,65,355.26017630,291.070829600,328.76237920,527206.1016000,0,185,Beverages,Water,QuenchWell,QuenchWell Crisp Filtered,Wednesday,January,Winter,0,0
2020-01-01,66,319.25155950,140.297152200,306.16014630,205917.2559000,0,800,Cereals,Oatmeal,SunriseBites,SunriseBites Sweet Porridge,Wednesday,January,Winter,0,0
2020-01-01,67,190.94143300,104.815673300,179.63170430,853317.2642000,0,588,Personal Care,Shampoo,GlowMist,GlowMist Revitalizing Revitalizer,Wednesday,January,Winter,0,0
2020-01-01,68,121.61144570,63.456670780,119.50725570,43415.2861300,0,55,Cleaning,Disinfectants,ShineGuard,ShineGuard Mega Foam,Wednesday,January,Winter,0,0
2020-01-01,69,516.14281290,328.451197000,518.56742030,194069.6977000,0,264,Beverages,Soft Drinks,HydraSip,HydraSip Bold Energy Drink,Wednesday,January,Winter,0,0
2020-01-01,70,231.63218220,112.734559700,235.93880180,515844.8698000,0,860,Meat,Beef,PrimeCut,PrimeCut Premium Roast,Wednesday,January,Winter,0,0
2020-01-01,71,344.75250730,173.251355900,362.44463010,99978.2271100,0,637,Dairy,Milk,DairyPeak,DairyPeak Premium Cream,Wednesday,January,Winter,0,0
2020-01-01,72,77.41007831,33.469520320,76.67786284,153813.8256000,0,130,Dairy,Cheese,LushMilk,LushMilk Premium Slice,Wednesday,January,Winter,0,0
2020-01-01,73,260.02688970,192.827391200,267.88480820,231163.9050000,0,151,Meat,Beef,PrimeCut,PrimeCut Premium Roast,Wednesday,January,Winter,0,0
2020-01-01,74,22.97894887,10.745285630,21.80269796,52529.8771100,0,168,Snacks,Nuts,CrunchTime,CrunchTime Zesty Mix,Wednesday,January,Winter,0,0
2020-01-01,75,250.65555570,134.863941900,233.28332140,725647.8338000,0,401,Beverages,Soft Drinks,QuenchWell,QuenchWell Crisp Soda,Wednesday,January,Winter,0,0
2020-01-01,76,470.70605620,204.204238400,512.50491340,1043084.6210000,0,1318,Snacks,Cookies,SnackSphere,SnackSphere Tangy Snack,Wednesday,January,Winter,0,0
2020-01-01,77,192.93038550,148.088946900,207.63497250,425990.2911000,0,245,Dairy,Milk,CreamyPath,CreamyPath Premium Flavored,Wednesday,January,Winter,0,0
2020-01-01,78,30.48575848,17.599268500,28.67964272,6767.8383820,0,147,Bakery,Bread,BakeHouse,BakeHouse Homestyle Loaf,Wednesday,January,Winter,0,0
2020-01-01,79,25.27069263,18.778135410,24.21740133,37274.2716300,0,242,Bakery,Bread,BakeHouse,BakeHouse Crusty Ciabatta,Wednesday,January,Winter,0,0
2020-01-01,80,191.91351130,98.156623940,191.78505100,768421.6993000,0,242,Snacks,Cookies,NibbleNest,NibbleNest Sweet Biscuit,Wednesday,January,Winter,0,0
2020-01-01,81,90.99715027,69.204771140,88.83467717,115657.3780000,0,44,Cereals,Oatmeal,DayStart,DayStart Nutty Flakes,Wednesday,January,Winter,0,0
2020-01-01,82,20.89027075,16.928927540,19.84505317,100398.6412000,0,649,Cereals,Granola,SunriseBites,SunriseBites Honeyed Bites,Wednesday,January,Winter,0,0
2020-01-01,83,364.09476380,200.415934700,385.11208650,1605293.8140000,0,276,Dairy,Milk,DairyPeak,DairyPeak Premium Drink,Wednesday,January,Winter,0,0
2020-01-01,84,238.18198750,129.393702900,261.23106390,410625.7465000,0,989,Dairy,Cheese,LushMilk,LushMilk Premium Curd,Wednesday,January,Winter,0,0
2020-01-01,85,156.65012340,69.839012670,147.58805380,319879.5520000,0,620,Bakery,Bread,SweetCrust,SweetCrust Homestyle Pita,Wednesday,January,Winter,0,0
2020-01-01,86,445.21500150,311.186054800,459.78348090,1124613.0940000,0,857,Frozen,Frozen Pizza,FrostyDelight,FrostyDelight Frosty Flatbread,Wednesday,January,Winter,0,0
2020-01-01,87,68.13774404,53.413439810,68.13767832,272687.2517000,0,717,Cleaning,Wipes,GermBuster,GermBuster Intense Pad,Wednesday,January,Winter,0,0
2020-01-01,88,471.21932820,177.159377700,465.59856860,199796.9952000,0,404,Beverages,Water,QuenchWell,QuenchWell Bold Filtered,Wednesday,January,Winter,0,0
2020-01-01,89,170.31679330,100.040774300,171.73296180,173382.4956000,0,591,Dairy,Milk,DairyPeak,DairyPeak Premium Non-Dairy,Wednesday,January,Winter,0,0
2020-01-01,90,448.97566150,350.351001400,479.20411130,449424.6372000,0,229,Meat,Chicken,PrimeCut,PrimeCut Premium Wings,Wednesday,January,Winter,0,0
2020-01-01,91,298.02204320,233.560302100,302.32198830,473259.0046000,0,614,Beverages,Juices,QuenchWell,QuenchWell Zesty Nectar,Wednesday,January,Winter,0,0
2020-01-01,92,431.54610650,167.277020800,409.10748530,409968.8012000,0,201,Personal Care,Shampoo,FreshAura,FreshAura Balancing Rinse,Wednesday,January,Winter,0,0
2020-01-01,93,510.60168150,351.701508200,548.92404470,1141705.3600000,0,723,Personal Care,Soap,FreshAura,FreshAura Soothing Sheet,Wednesday,January,Winter,0,0
2020-01-01,94,145.46355530,73.721420150,149.24109770,106188.3953000,0,630,Snacks,Chips,NibbleNest,NibbleNest Spicy Stacks,Wednesday,January,Winter,0,0
2020-01-01,95,476.42402280,198.250025600,490.47544710,980480.6390000,0,183,Snacks,Nuts,NibbleNest,NibbleNest Savory Mix,Wednesday,January,Winter,0,0
2020-01-01,96,198.47532290,140.945149700,211.93773940,96459.0069200,0,963,Dairy,Cheese,CreamyPath,CreamyPath Premium Wheel,Wednesday,January,Winter,0,0
2020-01-01,97,200.63279750,144.417092500,216.65673670,287707.4316000,0,1165,Bakery,Cakes,SweetCrust,SweetCrust Fresh Pound,Wednesday,January,Winter,0,0
2020-01-01,98,176.52442820,108.176010500,173.28209740,31774.3970700,0,48,Cleaning,Disinfectants,ShineGuard,ShineGuard Mega Foam,Wednesday,January,Winter,0,0
2020-01-01,99,281.05419740,253.676551400,259.50555330,63237.1944200,0,93,Cereals,Corn Flakes,MorningCrunch,MorningCrunch Crunchy Puffs,Wednesday,January,Winter,0,0
2020-01-01,100,88.83757125,64.740157400,90.99384724,52058.8167500,0,60,Snacks,Nuts,CrunchTime,CrunchTime Sweet Selection,Wednesday,January,Winter,0,0
2020-01-02,1,367.37636310,146.737439300,357.76247230,381336.6649000,0,100,Bakery,Bread,GoldenLoaf,GoldenLoaf Rich Pita,Thursday,January,Winter,0,0
2020-01-02,2,45.13559582,27.411622080,47.21456002,182212.4003000,0,248,Bakery,Cakes,BakeHouse,BakeHouse Fresh Pound,Thursday,January,Winter,0,0
2020-01-02,3,47.12260599,22.105597930,48.90275439,93114.2694400,0,518,Beverages,Soft Drinks,QuenchWell,QuenchWell Sparkling Soda,Thursday,January,Winter,0,0
2020-01-02,4,186.09060320,126.049235700,174.57562620,107374.2780000,0,573,Cleaning,Wipes,ShineGuard,ShineGuard Mega Pad,Thursday,January,Winter,0,0
2020-01-02,5,453.94729610,342.051387700,494.28735870,1631486.5820000,0,1148,Cleaning,Disinfectants,GermBuster,GermBuster Total Gel,Thursday,January,Winter,0,0
2020-01-02,6,343.08414820,247.463013800,347.31057810,951715.4272000,0,464,Snacks,Chips,NibbleNest,NibbleNest Fiery Bites,Thursday,January,Winter,0,0
2020-01-02,7,338.23248480,198.629006700,329.38900340,50058.4077400,0,478,Personal Care,Shampoo,GlowMist,GlowMist Gentle Rinse,Thursday,January,Winter,0,0
2020-01-02,8,181.49477010,60.238333950,167.20674130,141928.9102000,0,344,Cereals,Granola,MorningCrunch,MorningCrunch Multi-Grain Bites,Thursday,January,Winter,0,0
2020-01-02,9,287.21310660,187.192196300,299.07705360,318232.1221000,0,1043,Frozen,Frozen Pizza,FrostyDelight,FrostyDelight Cold Slice,Thursday,January,Winter,0,0
2020-01-02,10,15.58825368,8.511200224,16.86924406,4723.2408640,0,521,Personal Care,Shampoo,EssencePure,EssencePure Revitalizing Cleanser,Thursday,January,Winter,0,0
2020-01-02,11,326.45652320,225.195634800,341.83039910,314051.1753000,0,71,Frozen,Ice Cream,ChillFactor,ChillFactor Velvety Sundae,Thursday,January,Winter,0,0
2020-01-02,12,442.73593830,277.984569600,478.00262580,1601375.8890000,0,937,Snacks,Nuts,CrunchTime,CrunchTime Spicy Cluster,Thursday,January,Winter,0,0
2020-01-02,13,301.24300960,184.313185300,331.22790970,1322456.8120000,0,1228,Meat,Chicken,SavorSelect,SavorSelect Premium Breast,Thursday,January,Winter,0,0
2020-01-02,14,453.34642000,171.030909200,444.39742120,732607.8147000,0,79,Cereals,Granola,DayStart,DayStart Crunchy Bites,Thursday,January,Winter,0,0
2020-01-02,15,371.24955620,131.175981000,405.57444170,762917.8380000,0,786,Frozen,Frozen Pizza,ChillFactor,ChillFactor Chilly Pizza,Thursday,January,Winter,0,0
2020-01-02,16,71.33770691,31.566607870,68.80621247,24968.1974200,0,710,Snacks,Chips,SnackSphere,SnackSphere Sweet Wedges,Thursday,January,Winter,0,0
2020-01-02,17,463.11273620,323.810495500,478.65771120,87991.4198800,0,1209,Snacks,Chips,CrunchTime,CrunchTime Zesty Crisps,Thursday,January,Winter,0,0
2020-01-02,18,42.26457361,36.096223790,38.06336930,143615.0211000,0,262,Meat,Fish,PrimeCut,PrimeCut Premium Steaks,Thursday,January,Winter,0,0
2020-01-02,19,272.73234710,187.115891400,270.78557910,480827.1280000,0,670,Dairy,Cheese,CreamyPath,CreamyPath Premium Spread,Thursday,January,Winter,0,0
2020-01-02,20,77.69204837,47.904859300,82.28296701,12741.4959300,0,803,Frozen,Frozen Vegetables,ChillFactor,ChillFactor Cold Broccoli,Thursday,January,Winter,0,0
2020-01-02,21,15.80011948,8.432807971,16.85011567,72269.7465100,0,1207,Cereals,Corn Flakes,SunriseBites,SunriseBites Multi-Grain Crunch,Thursday,January,Winter,0,0
2020-01-02,22,208.80337840,162.948104500,213.43656540,544768.0143000,0,64,Cleaning,Wipes,SparkleClean,SparkleClean Power Wipe,Thursday,January,Winter,0,0
2020-01-02,23,148.04631130,111.698899900,145.12852010,155744.7195000,0,258,Frozen,Frozen Vegetables,PolarTaste,PolarTaste Cold Corns,Thursday,January,Winter,0,0
2020-01-02,24,246.52085000,182.758466200,239.94659150,123753.4667000,0,97,Frozen,Frozen Vegetables,ChillFactor,ChillFactor Creamy Corns,Thursday,January,Winter,0,0
2020-01-02,25,301.34090280,226.062542000,292.54619930,1014313.4790000,0,410,Personal Care,Toothpaste,EssencePure,EssencePure Balancing Polish,Thursday,January,Winter,0,0
2020-01-02,26,31.08000183,22.491983810,30.53373377,69339.4840800,0,310,Personal Care,Toothpaste,EssencePure,EssencePure Gentle Polish,Thursday,January,Winter,0,0
2020-01-02,27,70.99520700,36.132757220,69.94690582,289234.4733000,0,28,Cereals,Corn Flakes,SunriseBites,SunriseBites Crunchy Munch,Thursday,January,Winter,0,0
2020-01-02,28,283.33587160,199.449086800,302.51036420,423303.7921000,0,228,Cleaning,Detergents,ShineGuard,ShineGuard Power Sheets,Thursday,January,Winter,0,0
2020-01-02,29,178.78210840,114.876902200,193.53559500,353631.0104000,0,750,Meat,Fish,PrimeCut,PrimeCut Premium Portions,Thursday,January,Winter,0,0
2020-01-02,30,362.18710010,180.614326700,335.12546940,402752.0553000,0,109,Beverages,Soft Drinks,HydraSip,HydraSip Crisp Lemonade,Thursday,January,Winter,0,0
2020-01-02,31,327.35494820,237.620305500,320.88979360,792198.9746000,0,553,Cereals,Corn Flakes,MorningCrunch,MorningCrunch Crunchy Puffs,Thursday,January,Winter,0,0
2020-01-02,32,405.20521210,187.600967500,414.89090890,271892.6973000,0,515,Meat,Chicken,FreshFare,FreshFare Premium Thighs,Thursday,January,Winter,0,0
2020-01-02,33,350.37957900,188.199315300,361.21668730,1226678.9060000,0,669,Personal Care,Soap,FreshAura,FreshAura Soothing Sheet,Thursday,January,Winter,0,0
2020-01-02,34,212.75760880,103.199356700,209.84315240,809968.2168000,0,426,Meat,Beef,FreshFare,FreshFare Premium Ribs,Thursday,January,Winter,0,0
2020-01-02,35,326.52364480,134.999347500,323.75998990,491418.0855000,0,48,Meat,Beef,PrimeCut,PrimeCut Premium Roast,Thursday,January,Winter,0,0
2020-01-02,36,149.92033140,144.534153100,153.49944690,694430.9751000,0,895,Snacks,Nuts,CrunchTime,CrunchTime Crunchy Selection,Thursday,January,Winter,0,0
2020-01-02,37,156.86339310,101.377885900,150.97063240,341648.4701000,0,136,Meat,Beef,PrimeCut,PrimeCut Premium Ground,Thursday,January,Winter,0,0
2020-01-02,38,407.51138340,296.725089300,404.37860250,489828.6829000,0,280,Frozen,Ice Cream,ChillFactor,ChillFactor Chilly Treat,Thursday,January,Winter,0,0
2020-01-02,39,232.98081880,129.472338900,235.81387330,75019.8236500,0,1061,Cleaning,Detergents,SparkleClean,SparkleClean Total Liquid,Thursday,January,Winter,0,0
2020-01-02,40,386.99073190,291.974851400,397.23743780,467097.8134000,0,783,Beverages,Juices,RefreshFlow,RefreshFlow Bold Blend,Thursday,January,Winter,0,0
2020-01-02,41,419.97184960,314.770236700,404.35077950,818105.1631000,0,459,Meat,Chicken,FreshFare,FreshFare Premium Thighs,Thursday,January,Winter,0,0
2020-01-02,42,411.10845060,352.992465900,415.96729200,1392835.4300000,0,426,Beverages,Water,RefreshFlow,RefreshFlow Zesty Mineral,Thursday,January,Winter,0,0
2020-01-02,43,467.39791520,172.720894100,426.35232820,895534.4055000,0,801,Cleaning,Wipes,SparkleClean,SparkleClean Power Sponge,Thursday,January,Winter,0,0
2020-01-02,44,221.50642730,158.160685500,226.11163890,183628.8282000,0,407,Meat,Fish,FreshFare,FreshFare Premium Snack,Thursday,January,Winter,0,0
2020-01-02,45,165.79405380,91.937992530,175.72669660,9781.8491770,0,564,Beverages,Water,HydraSip,HydraSip Sparkling Aqua,Thursday,January,Winter,0,0
2020-01-02,46,291.89233640,214.378494200,291.39521860,403978.9936000,0,577,Frozen,Ice Cream,FrostyDelight,FrostyDelight Cold Scoop,Thursday,January,Winter,0,0
2020-01-02,47,193.28309820,126.382601300,205.94486730,81178.9012200,0,315,Beverages,Juices,RefreshFlow,RefreshFlow Bold Juice,Thursday,January,Winter,0,0
2020-01-02,48,309.76938590,189.920405100,327.64791300,1106496.2460000,0,578,Meat,Fish,SavorSelect,SavorSelect Premium Portions,Thursday,January,Winter,0,0
2020-01-02,49,338.02817280,163.358654000,355.26642730,914704.2356000,0,1197,Snacks,Nuts,NibbleNest,NibbleNest Fiery Blend,Thursday,January,Winter,0,0
2020-01-02,50,342.22612260,182.704327200,374.73015970,355230.7153000,0,225,Cereals,Oatmeal,SunriseBites,SunriseBites Protein-Rich Instant,Thursday,January,Winter,0,0
2020-01-02,51,197.67445560,128.047247000,199.81144370,371232.6276000,0,1122,Dairy,Yogurt,LushMilk,LushMilk Premium Pouch,Thursday,January,Winter,0,0
2020-01-02,52,93.34186262,48.349306120,88.39567577,180896.5297000,0,539,Cereals,Oatmeal,DayStart,DayStart Protein-Rich Instant,Thursday,January,Winter,0,0
2020-01-02,53,210.61873410,109.080343000,220.74770020,128688.0465000,0,616,Dairy,Cheese,CreamyPath,CreamyPath Premium Block,Thursday,January,Winter,0,0
2020-01-02,54,76.40836686,33.936239820,80.54937713,216388.4950000,0,581,Personal Care,Toothpaste,FreshAura,FreshAura Nourishing Gel,Thursday,January,Winter,0,0
2020-01-02,55,442.53505320,267.736057600,454.11061730,1617023.0840000,0,611,Bakery,Bread,BakeHouse,BakeHouse Fresh Rolls,Thursday,January,Winter,0,0
2020-01-02,56,181.82557340,136.425494600,168.83361910,436381.3762000,0,324,Personal Care,Soap,EssencePure,EssencePure Nourishing Gel,Thursday,January,Winter,0,0
2020-01-02,57,83.96149531,38.420887230,75.80248663,82618.1113900,0,292,Frozen,Frozen Pizza,FrostyDelight,FrostyDelight Frosty Pie,Thursday,January,Winter,0,0
2020-01-02,58,23.10427921,11.441428160,22.69432364,35164.7129600,0,589,Cleaning,Detergents,SparkleClean,SparkleClean Intense Packets,Thursday,January,Winter,0,0
2020-01-02,59,327.23019630,252.378735300,329.05063630,875668.0053000,0,867,Meat,Beef,PrimeCut,PrimeCut Premium Ground,Thursday,January,Winter,0,0
2020-01-02,60,325.68288980,303.512566400,357.57215380,1616038.4990000,0,115,Cereals,Corn Flakes,DayStart,DayStart Protein-Rich Crunch,Thursday,January,Winter,0,0
